id,material_name,material_type,strength_rating,weight_capacity_kg,biodegradability_score,co2_emission_score,recyclability_percent,cost_per_unit,created_at,co2_impact_index,cost_efficiency_index,material_suitability_score,strength_rating_scaled,weight_capacity_kg_scaled,biodegradability_score_scaled,co2_emission_score_scaled,recyclability_percent_scaled,cost_per_unit_scaled
1.0,Recycled Paper Material 1,Recycled Paper,9.15,25.55,6.44,4.68,32.31,4.48,2026-02-15 21:29:14.914260,3.167892,2.042410714285714,15.285,1.3204508861050734,-0.34845239104798365,0.008688613917737559,-0.12692734416859064,-1.687248484750814,0.7893255692811677
2.0,Molded Fiber Material 2,Molded Fiber,4.29,53.35,3.54,6.47,94.18,3.125,2026-02-15 21:29:14.914260,0.37655399999999944,1.3728,31.032000000000004,-1.5374912142910517,1.4463041029488515,-1.4995813372951001,0.6467904208655049,1.5086703407219715,-0.038696130215232195
3.0,Bioplastic Material 3,Bioplastic,6.09,5.31,4.51,3.5,30.02,3.125,2026-02-15 21:29:14.914260,2.4493,1.9487999999999999,12.795,-0.47899414007026486,-1.6551384140154637,-0.9950910432687374,-0.6369759267050333,-1.8055393221571936,-0.038696130215232195
4.0,Compostable Polymer Material 4,Compostable Polymer,5.24,46.8,5.93,2.03,51.2,1.42,2026-02-15 21:29:14.914260,0.9906399999999999,3.690140845070423,19.235,-0.9788399806745252,1.02343881389564,-0.25655886026107216,-1.2723754320682292,-0.7114782146169703,-1.0805979734929896
5.0,Recycled Paper Material 5,Recycled Paper,5.79,29.8,5.71,2.81,95.13,3.36,2026-02-15 21:29:14.914260,0.13684700000000022,1.7232142857142858,32.568,-0.6554103191070626,-0.07407415005925885,-0.37097933931859767,-0.9352246741204109,1.5577429588599885,0.10490910918082227
6.0,Molded Fiber Material 6,Molded Fiber,6.88,50.23,9.66,6.44,70.02,2.79,2026-02-15 21:29:14.914260,1.9307120000000006,2.46594982078853,26.656,-0.014431535273363834,1.2448781942700695,1.6833883528506122,0.6338230840213583,0.26067617839091395,-0.2434099821202461
7.0,Bamboo Material 7,Bamboo,4.59,28.18,4.77,3.78,65.225,0.43,2026-02-15 21:29:14.914260,1.314495,10.674418604651162,22.8345,-1.361075035254254,-0.1786606795655493,-0.8598668407462072,-0.5159474494929961,0.012988595262709493,-1.6855732373316874
8.0,Compostable Polymer Material 8,Compostable Polymer,7.42,36.6,6.26,8.17,54.3,2.54,2026-02-15 21:29:14.914260,3.7336900000000006,2.921259842519685,21.136,0.3031175869928723,0.36493103552270084,-0.08492814167478371,1.3816061753671598,-0.5513465133244922,-0.39618151339264457
9.0,Recycled Paper Material 9,Recycled Paper,7.61,33.04,6.78,7.78,32.14,0.59,2026-02-15 21:29:14.914260,5.279508,12.898305084745765,14.719999999999999,0.41484783371617784,0.1350989089533218,0.18552026337027708,1.213030796393251,-1.6960299006281436,-1.5877994573173526
10.0,Glass Material 10,Glass,8.9,26.89,3.27,6.13,95.76,4.33,2026-02-15 21:29:14.914260,0.259912,2.0554272517321017,33.269000000000005,1.1734374035744086,-0.2619425456538916,-1.6400064706838817,0.49982726996517396,1.5902858529936217,0.6976626505177284
11.0,Recycled Paper Material 11,Recycled Paper,9.8,22.01,9.0,6.1,46.73,2.31,2026-02-15 21:29:14.914260,3.2494699999999996,4.242424242424242,20.639,1.7026859406848023,-0.5769933258950626,1.3401269156780353,0.486859933121027,-0.9423777968032216,-0.5367313221632511
12.0,Recycled Paper Material 12,Recycled Paper,6.88,31.38,8.93,6.38,86.26,5.38,2026-02-15 21:29:14.914260,0.8766119999999997,1.278810408921933,31.309,-0.014431535273363834,0.027929996002431658,1.303720399614277,0.6078884103330644,1.0995596716134461,1.3393030818618017
13.0,Glass Material 13,Glass,6.63,29.3,6.79,1.66,79.7,0.78,2026-02-15 21:29:14.914260,0.3369799999999999,8.5,28.599,-0.1614450178040287,-0.10635394311675589,0.1907211942365281,-1.4323059198127068,0.7607003295235564,-1.4716930935503296
