id,material_name,material_type,strength_rating,weight_capacity_kg,biodegradability_score,co2_emission_score,recyclability_percent,cost_per_unit,created_at
1,Recycled Paper Material 1,Recycled Paper,9.15,25.55,,4.68,32.31,4.48,2026-02-15 21:29:14.914260
2,Molded Fiber Material 2,Molded Fiber,4.29,53.35,3.54,6.47,94.18,,2026-02-15 21:29:14.914260
3,Bioplastic Material 3,Bioplastic,6.09,5.31,4.51,3.5,30.02,,2026-02-15 21:29:14.914260
4,Compostable Polymer Material 4,Compostable Polymer,5.24,46.8,5.93,2.03,51.2,1.42,2026-02-15 21:29:14.914260
5,Recycled Paper Material 5,Recycled Paper,5.79,,5.71,2.81,95.13,3.36,2026-02-15 21:29:14.914260
6,Molded Fiber Material 6,Molded Fiber,6.88,50.23,9.66,6.44,70.02,2.79,2026-02-15 21:29:14.914260
7,Bamboo Material 7,Bamboo,4.59,28.18,4.77,3.78,,0.43,2026-02-15 21:29:14.914260
8,Compostable Polymer Material 8,Compostable Polymer,7.42,36.6,6.26,8.17,54.3,2.54,2026-02-15 21:29:14.914260
9,Recycled Paper Material 9,Recycled Paper,7.61,33.04,6.78,7.78,32.14,0.59,2026-02-15 21:29:14.914260
10,Glass Material 10,Glass,8.9,26.89,3.27,6.13,95.76,4.33,2026-02-15 21:29:14.914260
11,Recycled Paper Material 11,Recycled Paper,9.8,22.01,9.0,6.1,46.73,2.31,2026-02-15 21:29:14.914260
12,Recycled Paper Material 12,Recycled Paper,,31.38,8.93,6.38,86.26,5.38,2026-02-15 21:29:14.914260
13,Glass Material 13,Glass,6.63,29.3,6.79,1.66,79.7,0.78,2026-02-15 21:29:14.914260
14,Bioplastic Material 14,Bioplastic,4.2,16.22,9.78,8.02,54.46,1.64,2026-02-15 21:29:14.914260
15,Recycled Paper Material 15,Recycled Paper,7.07,15.65,3.6,6.57,75.6,3.38,2026-02-15 21:29:14.914260
16,Bamboo Material 16,Bamboo,5.91,11.7,4.26,8.87,90.26,2.93,2026-02-15 21:29:14.914260
17,Bioplastic Material 17,Bioplastic,9.69,,8.69,5.59,98.72,1.63,2026-02-15 21:29:14.914260
18,Molded Fiber Material 18,Molded Fiber,5.1,35.06,9.51,6.2,94.08,4.47,2026-02-15 21:29:14.914260
19,Bioplastic Material 19,Bioplastic,5.8,39.47,4.66,4.14,99.38,1.8,2026-02-15 21:29:14.914260
20,Molded Fiber Material 20,Molded Fiber,7.51,17.44,4.82,3.08,49.83,1.87,2026-02-15 21:29:14.914260
